Title,Year,Genres,Rating,Runtime,Director,Writer,Actors,Plot,Language,Country
The Mechanic,2011,"Action, Thriller, Crime",6.52,93,Simon West,,"Jason Statham, Ben Foster, Donald Sutherland","Arthur Bishop is a 'mechanic' - an elite assassin with a strict code requiring professional perfection and total detachment. One of an elite group of assassins, Bishop may be the best in the business - with a unique talent for cleanly eliminating targets. When Harry McKenna, his close friend and mentor, is murdered, Harry's son comes to him with vengeance in his heart and a desire to learn Bishop's trade, signaling the birth of a deadly partnership.",en,US
Ice Age: A Mammoth Christmas,2011,"Animation, Family, TV Movie",6.5,26,Karen Disher,Sam Harper,"Billy Gardell, Ray Romano, John Leguizamo","When Sid accidentally destroys Manny's heirloom Christmas rock and ends up on Santa's naughty list, he leads a hilarious quest to the North Pole to make things right and ends up making things much worse. Now it's up to Manny and his prehistoric posse to band together and save Christmas for the entire world!",en,US
What's Your Number?,2011,"Comedy, Romance",6.5,106,Mark Mylod,,"Anna Faris, Chris Evans, Ari Graynor","Ally Darling is realizing she's a little lost in life. Her latest romance has just fizzled out, and she's just been fired from her marketing job. Then she reads an eye-opening magazine article that warns that 96 percent of women who've been with 20 or more lovers are unlikely to find a husband. Determined to turn her life around and prove the article wrong, Ally embarks on a mission to find the perfect mate from among her numerous ex-boyfriends.",en,US
The Hangover Part II,2011,Comedy,6.485,102,Todd Phillips,,"Bradley Cooper, Ed Helms, Zach Galifianakis","The Hangover crew heads to Thailand for Stu's wedding. After the disaster of a bachelor party in Las Vegas last year, Stu is playing it safe with a mellow pre-wedding brunch. However, nothing goes as planned and Bangkok is the perfect setting for another adventure with the rowdy group.",en,US
X,2011,"Action, Thriller, Romance",6.466,90,Jon Hewitt,Belinda McClory,"Viva Bianca, Hanna Mangan Lawrence, Peter Docker",A veteran call girl and a runaway prostitute witness a murder which sends them on an out-of-control roller coaster ride through the twilight zone of sex-for-sale.,en,"AU, US"
Scream 4,2011,"Horror, Mystery",6.458,111,Wes Craven,,"David Arquette, Neve Campbell, Courteney Cox","Ten years have passed, and Sidney Prescott has put herself back together thanks to her writing. However, her return to Woodsboro sparks the return of the Ghostface Killer.",en,US
Attack the Block,2011,"Action, Comedy, Science Fiction",6.457,88,Joe Cornish,Joe Cornish,"John Boyega, Jodie Whittaker, Nick Frost",A teen gang in a South London housing estate must team up with the other residents to protect their neighbourhood from a terrifying alien invasion.,en,GB
Chalet Girl,2011,"Comedy, Romance",6.417,96,Phil Traill,,"Felicity Jones, Ed Westwick, Brooke Shields","While working a job at an exclusive ski resort to support her Dad, Kim learns to snowboard and is so good at it that she enters a competition with a huge cash prize. She has to dig deep to overcome her fears, but her life gets more complicated through her spoken-for boss, Jonny.",en,"AT, GB, DE"
The Beaver,2011,Drama,6.4,91,Jodie Foster,,"Mel Gibson, Jodie Foster, Jennifer Lawrence","Suffering from a severe case of depression, toy company CEO Walter Black begins using a beaver hand puppet to help him open up to his family. With his father seemingly going insane, adolescent son Porter pushes for his parents to get a divorce.",en,US
Flypaper,2011,"Mystery, Comedy, Crime",6.4,87,Rob Minkoff,Scott Moore,"Patrick Dempsey, Ashley Judd, Tim Blake Nelson",A man caught in the middle of two simultaneous robberies at a bank desperately tries to protect the teller with whom he's secretly in love.,en,US
A Dangerous Method,2011,"Drama, Thriller",6.4,99,David Cronenberg,,"Keira Knightley, Viggo Mortensen, Michael Fassbender","Seduced by the challenge of an impossible case, the driven Dr. Carl Jung takes the unbalanced yet beautiful Sabina Spielrein as his patient. Jung’s weapon is the method of his master, the renowned Sigmund Freud. Both men fall under Sabina’s spell.",en,"CA, DE, CH, GB, US"
Kung Fu Panda: Secrets of the Masters,2011,"Animation, Action, Comedy",6.4,24,Tony Leondis,Paul McEvoy,"Jack Black, Angelina Jolie, Seth Rogen","Po and the Furious Five uncover the legend of three of kung fu's greatest heroes: Master Thundering Rhino, Master Storming Ox, and Master Croc.",en,US
Never Back Down 2: The Beatdown,2011,"Drama, Action",6.4,99,Michael Jai White,Chris Hauty,"Michael Jai White, Gralen Bryant Banks, Alex Meraz",Four fighters from different backgrounds come together to train under an ex MMA rising star and then ultimately have to fight each other and the traitor in their midst.,en,US
The Iron Lady,2011,"History, Drama",6.4,105,Phyllida Lloyd,,"Meryl Streep, Anthony Stewart Head, Harry Lloyd","A look at the life of Margaret Thatcher, the former Prime Minister of the United Kingdom, with a focus on the price she paid for power.",en,GB
Grave Encounters,2011,"Thriller, Horror",6.304,93,Stuart Ortiz,Stuart Ortiz,"Sean Rogerson, Ashleigh Gryzko, Merwin Mondesir",A crew from a paranormal reality television show lock themselves in a haunted psychiatric hospital. They search for evidence of paranormal activity as they shoot what ends up becoming their final episode.,en,CA
Assassination Games,2011,"Action, Crime, Drama, Thriller",6.3,101,Ernie Barbarash,Aaron Rahsaan Thomas,"Jean-Claude Van Damme, Scott Adkins, Ivan Kaye","Brazil is a contract killer, willing to take any job if the price is right. Flint left the assassin game when a ruthless drug dealer’s brutal attack left his wife in a coma. When a contract is put out on the same coldblooded drug dealer, both Brazil and Flint want him dead – one for the money, the other for revenge. With crooked Interpol agents and vicious members of the criminal underworld hot on their trail, these two assassins reluctantly join forces to quickly take out their target before they themselves are terminated.",en,US
No Strings Attached,2011,"Comedy, Romance",6.3,107,Ivan Reitman,,"Natalie Portman, Ashton Kutcher, Kevin Kline","Emma is a busy doctor who sets up a seemingly perfect arrangement when she offers her best friend Adam a relationship with one rule: No strings attached. But when a fling becomes a thing, can sex friends stay best friends?",en,US
Tom and Jerry & The Wizard of Oz,2011,"Animation, Comedy, Adventure, Family, Fantasy",6.3,59,Spike Brandt,Gene Grillo,"Grey DeLisle, Joe Alaskey, Michael Gough","After a deadly storm, Tom and Jerry find themselves stranded on an unknown island ruled by the evil Wizard of Oz. As they try to find their way back home, they worry for their master Dorothy's safety.",en,US
Something Borrowed,2011,"Comedy, Drama, Romance",6.3,112,Luke Greenfield,Jennie Snyder Urman,"Ginnifer Goodwin, Kate Hudson, Colin Egglesfield","Though Rachel is a successful attorney and a loyal, generous friend, she is still single. After one drink too many at her 30th-birthday celebration, Rachel unexpectedly falls into bed with her longtime crush, Dex -- who happens to be engaged to her best friend, Darcy. Ramifications of the liaison threaten to destroy the women's lifelong friendship, while Ethan, Rachel's confidant, harbors a potentially explosive secret of his own.",en,US
Megan Is Missing,2011,"Drama, Horror, Thriller",6.3,86,Michael Goi,Michael Goi,"Amber Perkins, Rachel Quinn, Dean Waite","Fourteen-year–old Megan and her best friend Amy spend a lot of time on the internet, posting videos of themselves and chatting with guys online. One night Megan chats with a guy named Josh who convinces her to meet him for a date. The next day, Megan is missing—forever. Based on actual cases of child abduction.",en,US
Beastly,2011,"Romance, Fantasy, Drama",6.3,86,Daniel Barnz,,"Alex Pettyfer, Vanessa Hudgens, Mary-Kate Olsen","A modern-day take on the ""Beauty and the Beast"" tale where a New York teen is transformed into a hideous monster in order to find true love.",en,US
Honey 2,2011,"Music, Comedy, Drama",6.3,110,Bille Woodruff,,"Kat Graham, Randy Wayne, Seychelle Gabriel","After a brush with the law, Maria has returned to her gritty Bronx roots to rebuild her life with nothing but a talent for street dance and a burning ambition to prove herself.",en,US
Marvel One-Shot: The Consultant,2011,"Adventure, Fantasy, Science Fiction, Action",6.3,4,Leythum,Eric Pearson,"Maximiliano Hernández, Clark Gregg, Robert Downey Jr.","Agent Coulson informs Agent Sitwell that the World Security Council wishes Emil Blonsky to be released from prison to join the Avengers Initiative. As Nick Fury doesn't want to release Blonsky, the two agents decide to send a patsy to sabotage the meeting...",en,US
Killer Elite,2011,"Action, Adventure, Thriller",6.262,116,Gary McKendry,,"Jason Statham, Clive Owen, Robert De Niro","Based on a shocking true story, Killer Elite pits two of the world’s most elite operatives—Danny, an ex-special ops agent and Hunter, his longtime mentor—against the cunning leader of a secret military society. Covering the globe from Australia to Paris, London and the Middle East, Danny and Hunter are plunged into a highly dangerous game of cat and mouse—where the predators become the prey.",en,"AU, US"
J. Edgar,2011,"Drama, Crime, History",6.232,137,Clint Eastwood,Dustin Lance Black,"Leonardo DiCaprio, Naomi Watts, Armie Hammer","As the face of law enforcement in the United States for almost 50 years, J. Edgar Hoover was feared and admired, reviled and revered. But behind closed doors, he held secrets that would have destroyed his image, his career, and his life.",en,US
The Eagle,2011,"Adventure, Drama",6.232,114,Kevin Macdonald,Rosemary Sutcliff,"Channing Tatum, Mark Strong, Jamie Bell","In 140 AD, twenty years after the unexplained disappearance of the entire Ninth Legion in the mountains of Scotland, young centurion Marcus Aquila arrives from Rome to solve the mystery and restore the reputation of his father, the commander of the Ninth. Accompanied only by his British slave Esca, Marcus sets out across Hadrian's Wall into the uncharted highlands of Caledonia - to confront its savage tribes, make peace with his father's memory, and retrieve the lost legion's golden emblem, the Eagle of the Ninth.",en,US
The Thing,2011,"Horror, Science Fiction, Mystery",6.225,103,Matthijs van Heijningen Jr.,Eric Heisserer,"Mary Elizabeth Winstead, Joel Edgerton, Ulrich Thomsen","When paleontologist Kate Lloyd travels to an isolated outpost in Antarctica for the expedition of a lifetime, she joins an international team that unearths a remarkable discovery. Their elation quickly turns to fear as they realize that their experiment has freed a mysterious being from its frozen prison. Paranoia spreads like an epidemic as a creature that can mimic anything it touches will pit human against human as it tries to survive and flourish in this spine-tingling thriller.",en,US
Kill List,2011,"Horror, Thriller, Crime",6.204,95,Ben Wheatley,Ben Wheatley,"Neil Maskell, MyAnna Buring, Harry Simpson","Nearly a year after a botched job, a hitman takes a new assignment with the promise of a big payoff for three killings. What starts off as an easy task soon unravels, sending the killer into the heart of darkness.",en,GB
The Twilight Saga: Breaking Dawn - Part 1,2011,"Adventure, Fantasy, Romance",6.2,117,Bill Condon,,"Kristen Stewart, Robert Pattinson, Taylor Lautner",The new found married bliss of Bella Swan and vampire Edward Cullen is cut short when a series of betrayals and misfortunes threatens to destroy their world.,en,US
Johnny English Reborn,2011,"Crime, Action, Comedy",6.2,101,Oliver Parker,William Davies,"Rowan Atkinson, Gillian Anderson, Dominic West","The most prominent heads of state in the world begin gathering for a conference that could have a major impact on global politics. When MI-7 receives word that the Chinese premier has become the target of some high-powered killers, it falls on Johnny English to save the day. Armed with the latest high-tech weaponry and gadgets that would make even James Bond jealous, the once-disgraced agent uncovers evidence of a massive conspiracy involving some of the world's most powerful organisations, and vows to redeem his tarnished reputation by stopping the killers before they can strike.",en,GB
The Change-Up,2011,Comedy,6.2,112,David Dobkin,Jon Lucas,"Jason Bateman, Ryan Reynolds, Leslie Mann","Lifelong friends Dave and Mitch are envious of the other's life. Mitch thinks Dave has it all: a beautiful, loving family and a high-paying job at a prestigious law firm. But Dave thinks Mitch’s stress-free playboy life without obligation or consequence is the real dream come true. One fateful drunken night, they both admit that they wish they had the other’s life while peeing in a fountain when lightning strikes. The next morning, they wake up, hungover, in each other’s bodies! With time not on their side, Mitch and Dave comically struggle to avoid completely destroying each other’s lives before they can find a way to get their old ones back.",en,US
Happy Feet Two,2011,"Animation, Comedy, Family",6.2,100,George Miller,George Miller,"Elijah Wood, Robin Williams, Pink","Mumble the penguin has a problem: his son Erik, who is reluctant to dance, encounters the Mighty Sven — a penguin who can fly! Things get worse for Mumble when the world is shaken by powerful forces, causing him to bring together the penguin nations and their allies to set things right.",en,AU
